Handle,Title,Body (HTML),Option1 Name,Option1 Value,SEO Title,SEO Description
evergift-cabin-large,EverEnvelope: Large Navy Reusable Gift Bag with Forest Animals and Magnetic Closure,"<p data-start=""110"" data-end=""162"">🎁 <strong data-start=""113"" data-end=""160"">Quick Gift Package – Big Gifts, Zero Waste!</strong></p>
<p data-start=""164"" data-end=""407"">The simplest all-in-one solution for reusable gift wrapping. Just tuck your gift inside, close the magnetic flap, and you’ve got a stunning, waste-free package in seconds! Let’s reduce wrapping paper waste and gift beautifully with EverWrap.</p>
<p data-start=""409"" data-end=""493"">Perfect for larger items like:<br data-start=""439"" data-end=""442"">✨ Men’s shoes<br data-start=""455"" data-end=""458"">✨ Large tablets<br data-start=""473"" data-end=""476"">✨ Cozy sweaters</p>
<p data-start=""495"" data-end=""531"">📏 <strong data-start=""498"" data-end=""507"">Size:</strong> 16.25"" x 13.5"" x 6.5""<span><br></span></p>
<p data-start=""495"" data-end=""531""><em>Bows and charms sold separately.</em></p>
<p data-start=""495"" data-end=""531""><em><span>(Reusable Gift Wrap – Sustainable, Foldable, Eco-Friendly)</span></em></p>",Title,Default Title,,"Quick Gift Package Price Includes 2 Large Lay Flat store easily Gift Bag  Price Includes 2 Large EverGift Bags.  It's the simplest all-in one solution for reusable gift wrapping. With the ease of a fold over and magnetic snap, this standout gift is wrapped! Together we can decrease our wrapping paper waste and use EverWrap gift wrap for beautiful presents."
evergift-cozy-small,"EverEnvelope: Small Black and White Reusable Gift Bag with Magnetic Closure (Reusable Gift Wrap Bags – Sustainable, Foldable, Eco-Friendly)","<p data-start=""132"" data-end=""185"">🎁 <strong data-start=""135"" data-end=""183"">Quick Gift Package – Tiny Gifts, Big Impact!</strong></p>
<p data-start=""187"" data-end=""558"">🌎 <strong data-start=""190"" data-end=""242"">Eco-Friendly – Ditch the Plastic, Wrap with Joy!</strong> 🌎<br data-start=""245"" data-end=""248"">Meet the easiest all-in-one reusable gift wrap! Just pop your gift inside, close the magnetic flap, and voilà—a perfectly wrapped present in seconds. Pair it with our EverWrap Bow for an extra dash of fun! Together, we can say goodbye to wasteful wrapping paper and hello to gorgeous, reusable gifting.</p>
<p data-start=""560"" data-end=""685"">Perfect for small surprises like:<br data-start=""593"" data-end=""596"">✨ A journal &amp; pen set<br data-start=""617"" data-end=""620"">✨ Candles &amp; bath salts<br data-start=""642"" data-end=""645"">✨ A sweet collection of chocolate bars</p>
<p data-start=""687"" data-end=""777"">📏 <strong data-start=""690"" data-end=""699"">Size:</strong> 9.5"" x 7.5"" x 4.5"" – made for all your little gifts that deserve a big wow!<span></span></p>
<p data-start=""687"" data-end=""777""><span>(Reusable Gift Wrap – Sustainable, Foldable, Eco-Friendly)</span></p>",Title,Default Title,,"Quick Gift Package Price Includes 2 Small Lay Flat store easily Gift Bag  Price Includes 2 Small EverGift Bags.  It's the simplest all-in one solution for reusable gift wrapping. With the ease of a fold over and magnetic snap, this standout gift is wrapped! Together we can decrease our wrapping paper waste and use EverWrap gift wrap for beautiful presents."
copy-of-evergift-cozy-medium,"EverEnvelope: Medium Black, White, & Marigold Reusable Gift Bag with Magnetic Closure (Reusable Gift Wrap Bags – Sustainable, Foldable, Eco-Friendly)","<p data-start=""126"" data-end=""180"">🎁 <strong data-start=""129"" data-end=""178"">Quick Gift Package – Medium Gifts, Major Wow!</strong></p>
<p data-start=""182"" data-end=""517"">🌎 <strong data-start=""185"" data-end=""242"">Eco-Friendly – Say Bye to Plastic, Hello to Reusable!</strong> 🌎<br data-start=""245"" data-end=""248"">Our easiest all-in-one solution for stress-free, reusable gift wrapping. Just tuck your gift inside, snap the magnetic flap shut, and you’ve got a stunning, waste-free present in seconds! Let’s kick wrapping paper waste to the curb and wrap beautifully with EverWrap.</p>
<p data-start=""519"" data-end=""627"">Perfect for medium-sized treasures like:<br data-start=""559"" data-end=""562"">✨ Children’s shoes<br data-start=""580"" data-end=""583"">✨ Electronics<br data-start=""596"" data-end=""599"">✨ New kitchen utensil sets</p>
<p data-start=""629"" data-end=""724"">📏 <strong data-start=""632"" data-end=""641"">Size:</strong> 13"" x 10.5"" x 6.25"" – perfectly sized for those gifts that need a bit more room!<span></span></p>
<p data-start=""629"" data-end=""724""><span>(Reusable Gift Wrap – Sustainable, Foldable, Eco-Friendly)</span></p>",Title,Default Title,,"Quick Gift Package Price Includes 2 Medium Lay Flat store easily Gift Bag  Price Includes 2 Medium EverGift Bags.  It's the simplest all-in one solution for reusable gift wrapping. With the ease of a fold over and magnetic snap, this standout gift is wrapped! Together we can decrease our wrapping paper waste and use EverWrap gift wrap for beautiful presents."
evergift-cozy-large,"EverEnvelope: Large Pink Reusable Gift Bag with Magnetic Closure (Reusable Gift Wrap Bags – Sustainable, Foldable, Eco-Friendly)","<p data-start=""126"" data-end=""180"">🎁 <strong data-start=""129"" data-end=""178"">Quick Gift Package – Medium Gifts, Major Wow!</strong></p>
<p data-start=""182"" data-end=""517"">🌎 <strong data-start=""185"" data-end=""242"">Eco-Friendly – Say Bye to Plastic, Hello to Reusable!</strong> 🌎<br data-start=""245"" data-end=""248"">Our easiest all-in-one solution for stress-free, reusable gift wrapping. Just tuck your gift inside, snap the magnetic flap shut, and you’ve got a stunning, waste-free present in seconds! Let’s kick wrapping paper waste to the curb and wrap beautifully with EverWrap.</p>
<p data-start=""519"" data-end=""627"">Perfect for medium-sized treasures like:<br data-start=""559"" data-end=""562"">✨ Children’s shoes<br data-start=""580"" data-end=""583"">✨ Electronics<br data-start=""596"" data-end=""599"">✨ New kitchen utensil sets</p>
<p data-start=""629"" data-end=""724"">📏 <strong data-start=""632"" data-end=""641"">Size:</strong> 13"" x 10.5"" x 6.25"" – perfectly sized for those gifts that need a bit more room!</p>
<p><span>(Reusable Gift Wrap – Sustainable, Foldable, Eco-Friendly)</span></p>",Title,Default Title,,"Quick Gift Package Price Includes 2 Large Lay Flat store easily Gift Bag  Price Includes 2 Large EverGift Bags.  It's the simplest all-in one solution for reusable gift wrapping. With the ease of a fold over and magnetic snap, this standout gift is wrapped! Together we can decrease our wrapping paper waste and use EverWrap gift wrap for beautiful presents."
everbag-cabin-small,EverBag: Small Leaf Design with Satin Bow Closure,"<h3>It's a simple all-in-one reusable gift bag.<br>Satin sewn into the top just ties into a bow! No Tissue Needed!</h3>
<ul>
<li>Save time, wrap gifts in seconds</li>
<li>Measurements: 8 x 8 x 4.5""</li>
<li>This reusable gift bag is a ""Green"" choice that is actually easier than single-use</li>
<li>No need to spend time and money on single use gift bags</li>
<li>Folds completely flat for easy and organized storage</li>
</ul>
<p><span>EARTH FRIENDLY 🌎 </span></p>
<p><span>(Reusable Gift Wrap – Sustainable, Foldable, Eco-Friendly)</span></p>",Title,Default Title,,
everbag-cabin-medium,EverBag: Medium Holiday Red with Wintry Knitted Sweater Design and Red Satin Bow Closure,"<h3><span>Reusable Large One-Piece Gift Bag</span></h3>
<ul>
<li><span>A simple all-in-one reusable gift bag</span></li>
<li><span>No need to spend time and money on single use gift bags</span></li>
<li><span>With just the tie of a bow, this standout gift is wrapped! </span></li>
<li>Gorgeous Holiday Red Satin Ribon is sewn into the bag eliminating the need for tissue paper</li>
<li>This bag is perfect for Medium size gifts items </li>
<li>Measurements: 11.5 x 9 x 7""</li>
<li>The knitted sweater motif screams Winter Birthday for Boy or Girl </li>
<li>Take the next step to reducing your carbon foot print with this perfect Christmas Gift Bag</li>
</ul>
<p><span>ECO FRIENDLY 🌎 SAY NO TO PLASTIC BAGS 🌎 Reduce the gift wrap bag and paper waste<br></span><span></span></p>
<p><span>(Reusable Gift Wrap – Sustainable, Foldable, Eco-Friendly)</span></p>",Title,Default Title,,
everbag-cozy-small,EverBag: Small Grey and Gold Floral Print with Gold Satin Bow,"<h3>Satin Ribbon is sewn into the bag (no tissue paper needed!) just tie in a bow and you are done!</h3>
<ul>
<li>Save time, wrap gifts in seconds</li>
<li>Measurements: 8 x 8 x 4.5""</li>
<li>This reusable gift bag is a ""Green"" choice that is actually easier than single-use</li>
<li>No need to spend time and money on single use gift bags</li>
<li>Folds completely flat for easy and organized storage</li>
<li>Small Reusable bag perfect for Small Gifts for Her</li>
</ul>
<h3><span>EARTH FRIENDLY 🌎 </span></h3>",Title,Default Title,,
everbag-cozy-medium,EverBag: Medium Black and White Buffalo Check with Gold Satin Bow,"<p data-start=""186"" data-end=""232"">🎁 <strong data-start=""189"" data-end=""230"">A Simple All-in-One Reusable Gift Bag</strong></p>
<p data-start=""234"" data-end=""411"">🌎 <strong data-start=""237"" data-end=""273"">Earth-Friendly &amp; Carbon-Reducing</strong> 🌎<br data-start=""276"" data-end=""279"">Take the next step toward reducing your carbon footprint with the perfect gift bag for the holiday season—or any special occasion!</p>
<p data-start=""413"" data-end=""873""><strong data-start=""413"" data-end=""425"">Details:</strong><br data-start=""425"" data-end=""428"">✨ <strong data-start=""430"" data-end=""447"">Measurements:</strong> 11.5"" x 9"" x 7"" – ideal for medium-sized gifts<br data-start=""494"" data-end=""497"">✨ <strong data-start=""499"" data-end=""523"">Effortless Wrapping:</strong> Just tie the built-in gold satin ribbon for a beautifully wrapped, standout gift—no tissue paper needed<br data-start=""627"" data-end=""630"">✨ <strong data-start=""632"" data-end=""659"">Reusable &amp; Sustainable:</strong> Say goodbye to single-use gift bags and save time and money with a bag you can use year after year<br data-start=""758"" data-end=""761"">✨ <strong data-start=""763"" data-end=""779"">Chic Design:</strong> Classic black and white buffalo check pattern for a timeless, Pinterest-worthy presentation</p>",Title,Default Title,,
everbag-small-green-floral-print-with-ivory-satin-bow,EverBag: Small Green Floral Print with Ivory Satin Bow,"<p dir=""ltr"">Wrap a gift in seconds with the EverWrap reusable gift box. A satin ribbon is sewn right in, so you don't need tissue paper, tape or scissors. Just place your gift inside, tie a bow, and it's ready to give.</p>
<p dir=""ltr""><strong>Why you'll love it</strong></p>
<ul dir=""ltr"">
<li>
<strong>Wraps gifts in seconds:</strong> no cutting, taping or folding paper</li>
<li>
<strong>Satin ribbon sewn in:</strong> a beautiful bow every time, no tissue paper needed</li>
<li>
<strong>Reusable gift wrap:</strong> replaces single-use gift bags and wrapping paper</li>
<li>
<strong>Saves money:</strong> stop buying new gift bags for every birthday and holiday</li>
<li>
<strong>Stores flat:</strong> folds completely flat for easy, organized storage</li>
</ul>
<p dir=""ltr""><strong>Size:</strong> 8 x 8 x 4.5""</p>
<p dir=""ltr"">Perfect for birthdays, Christmas, baby showers, weddings, Mother's Day and every celebration in between.</p>
<p dir=""ltr""><strong>Earth friendly 🌎</strong> Every time you reuse your EverWrap gift box, that's one less gift bag or sheet of wrapping paper in the trash.</p>",Title,Default Title,,
everbag-medium-green-buffalo-plaid-with-ivory-satin-bow-copy,EverBag: Medium Green Buffalo Plaid with Ivory Satin Bow,"<p dir=""ltr"">Wrap a gift in seconds with the EverWrap reusable gift box. A satin ribbon is sewn right in, so you don't need tissue paper, tape or scissors. Just place your gift inside, tie a bow, and it's ready to give.</p>
<p dir=""ltr""><strong>Why you'll love it</strong></p>
<ul dir=""ltr"">
<li>
<strong>Wraps gifts in seconds:</strong> no cutting, taping or folding paper</li>
<li>
<strong>Satin ribbon sewn in:</strong> a beautiful bow every time, no tissue paper needed</li>
<li>
<strong>Reusable gift wrap:</strong> replaces single-use gift bags and wrapping paper</li>
<li>
<strong>Saves money:</strong> stop buying new gift bags for every birthday and holiday</li>
<li>
<strong>Stores flat:</strong> folds completely flat for easy, organized storage</li>
</ul>
<p dir=""ltr""><strong>Size:</strong> 11.5"" x 9"" x 7""</p>
<p dir=""ltr"">Perfect for birthdays, Christmas, baby showers, weddings, Mother's Day and every celebration in between.</p>
<p dir=""ltr""><strong>Earth friendly 🌎</strong> Every time you reuse your EverWrap gift box, that's one less gift bag or sheet of wrapping paper in the trash.</p>",Title,Default Title,,
everbag-large-cotton-black-grid-tie-bag-with-satin-ribbon-closure,EverTie: Large Tie Bag with Black Grid Pattern and Satin Ribbon Closure,"<h3><span>Oversize Bag</span></h3>
<p><span>ECO FRIENDLY 🌎 SAY NO TO PLASTIC BAGS 🌎 Reduce the gift wrap bag and paper waste</span></p>
<p><span>It's the simplest all-in-one solution for reusable gift wrapping. With just the tie of a bow, this standout gift is wrapped! Together we can decrease our wrapping paper waste and use EverWrap gift wrap for beautiful presents. </span></p>
<p><span>This bag is perfect for Larger and Odd Shaped gift items such as:</span></p>
<ul>
<li>Roller blades</li>
<li><span>Snuggly blanket</span></li>
<li><span>Larger toys such as basketball kit, baseball kit, soccer kit</span></li>
</ul>
<p><span>Measurements: 27 x 19"" </span></p>
<p><span>(Reusable Gift Wrap – Sustainable, Foldable, Eco-Friendly)</span></p>",Title,Default Title,,"Eco-friendly, zero-waste reusable gift wrap. Stylish cotton drawstring gift bag with satin bow—perfect for sustainable, elegant gift-giving year-round."
everbag-large-cotton-blue-tie-bag-with-satin-ribbon-closure,EverTie: Large Blue Tie Bag with Satin Ribbon Closure,"<p data-start=""126"" data-end=""177"">🎁 <strong data-start=""129"" data-end=""175"">Oversize Gift Bag – Big Gifts, Zero Waste!</strong></p>
<p data-start=""179"" data-end=""483"">🌎 <strong data-start=""182"" data-end=""235"">Eco-Friendly – Skip the Plastic, Save the Planet!</strong> 🌎<br data-start=""238"" data-end=""241"">Wrap those big, awkward gifts in a snap! Just tie the built-in bow, and you’ve got a showstopping, reusable wrap—no tissue, tape, or hassle required. Together, we can kick wrapping paper waste to the curb and gift beautifully with EverWrap!</p>
<p data-start=""485"" data-end=""627"">Perfect for larger or oddly shaped presents like:<br data-start=""534"" data-end=""537"">✨ Roller blades<br data-start=""552"" data-end=""555"">✨ Cozy blankets<br data-start=""570"" data-end=""573"">✨ Big toys like basketball, baseball, or soccer sets</p>
<p data-start=""629"" data-end=""704"">📏 <strong data-start=""632"" data-end=""641"">Size:</strong> 27"" x 19"" – made for the gifts that don’t fit anywhere else!</p>
<p data-start=""629"" data-end=""704""><span>(Reusable Gift Wrap – Sustainable, Foldable, Eco-Friendly)</span></p>",Title,Default Title,,"Eco-friendly, zero-waste reusable gift wrap. Stylish cotton drawstring gift bag with satin bow—perfect for sustainable, elegant gift-giving year-round."
