Handle,Title,Body (HTML),SEO Title,SEO Description
evergift-cozy-large,"EverEnvelope Reusable Gift Bag – Pink, Large","<p>The EverEnvelope is a reusable gift bag in pink with a magnetic flap closure. Tuck your gift inside, snap it shut and it&#39;s wrapped in seconds – no tape, no waste.</p><ul><li><strong>Color:</strong> Pink</li><li><strong>Size:</strong> Large – 16.25&quot; x 13.5&quot; x 6.5&quot;</li><li><strong>Fits gifts like:</strong> men&#39;s shoes, large tablets, cozy sweaters</li><li><strong>Magnetic closure:</strong> snaps shut and opens easily, again and again</li><li><strong>Heavy-duty:</strong> built for maximum reusability and folds flat for storage</li><li><strong>Make it yours:</strong> Add an EverBow and charm for extra flair (sold separately)</li></ul><p>Perfect for birthdays, Christmas, baby showers, weddings, Mother&#39;s Day and every celebration in between.</p>","Pink Reusable Gift Bag, Large | EverWrap","Reusable large gift bag in pink with a magnetic closure – no tape, no waste. Folds flat to store and reuse every season."
everbag-cabin-small,"EverBag Reusable Gift Bag – Blue Berry Foliage, Small","<p>The EverBag is a reusable gift bag in blue with a berry and green foliage print with a royal blue satin ribbon sewn right in. Place your gift inside, tie a bow and it&#39;s ready to give – no tissue paper, tape or scissors.</p><ul><li><strong>Color:</strong> Blue with a berry and green foliage print with a royal blue satin ribbon</li><li><strong>Size:</strong> Small – 8&quot; x 8&quot; x 4.5&quot;</li><li><strong>Fits gifts like:</strong> jewelry, candles and beauty treats</li><li><strong>Ribbon sewn in:</strong> a beautiful bow every time, no tissue paper needed</li><li><strong>Stores flat:</strong> folds completely flat for easy, organized storage</li><li><strong>Make it yours:</strong> Add an EverBow and charm for extra flair (sold separately)</li></ul><p>Perfect for birthdays, Christmas, baby showers, weddings, Mother&#39;s Day and every celebration in between.</p>","Blue Berry Foliage Reusable Gift Bag, Small | EverWrap","Reusable small gift bag in blue with a berry and foliage print and a royal blue satin bow. Wrap a gift in seconds, then use it again and again."
everbag-cabin-medium,"EverBag Reusable Gift Bag – Red Knit Sweater, Medium","<p>The EverBag is a reusable gift bag in holiday red with a knitted sweater design with a red satin ribbon sewn right in. Place your gift inside, tie a bow and it&#39;s ready to give – no tissue paper, tape or scissors. The cozy knit design is made for Christmas and winter birthdays.</p><ul><li><strong>Color:</strong> Holiday red with a knitted sweater design with a red satin ribbon</li><li><strong>Size:</strong> Medium – 11.5&quot; x 9&quot; x 7&quot;</li><li><strong>Fits gifts like:</strong> books, clothing and toys</li><li><strong>Ribbon sewn in:</strong> a beautiful bow every time, no tissue paper needed</li><li><strong>Stores flat:</strong> folds completely flat for easy, organized storage</li><li><strong>Make it yours:</strong> Add an EverBow and charm for extra flair (sold separately)</li></ul><p>Perfect for birthdays, Christmas, baby showers, weddings, Mother&#39;s Day and every celebration in between.</p>","Red Knit Sweater Reusable Gift Bag, Medium | EverWrap","Reusable medium gift bag in red knit sweater with a red satin bow closure. Wrap a gift in seconds, then use it again and again. Zero-waste gifting by EverWrap."
everbag-cozy-small,"EverBag Reusable Gift Bag – Grey & Gold Floral, Small","<p>The EverBag is a reusable gift bag in grey and gold floral with a gold satin ribbon sewn right in. Place your gift inside, tie a bow and it&#39;s ready to give – no tissue paper, tape or scissors.</p><ul><li><strong>Color:</strong> Grey and gold floral with a gold satin ribbon</li><li><strong>Size:</strong> Small – 8&quot; x 8&quot; x 4.5&quot;</li><li><strong>Fits gifts like:</strong> jewelry, candles and beauty treats</li><li><strong>Ribbon sewn in:</strong> a beautiful bow every time, no tissue paper needed</li><li><strong>Stores flat:</strong> folds completely flat for easy, organized storage</li><li><strong>Make it yours:</strong> Add an EverBow and charm for extra flair (sold separately)</li></ul><p>Perfect for birthdays, Christmas, baby showers, weddings, Mother&#39;s Day and every celebration in between.</p>","Grey & Gold Floral Reusable Gift Bag, Small | EverWrap","Reusable small gift bag in grey & gold floral with a gold satin bow closure. Wrap a gift in seconds, then use it again and again."
everbag-cozy-medium,"EverBag Reusable Gift Bag – Buffalo Check, Medium","<p>The EverBag is a reusable gift bag in black and white buffalo check with a gold satin ribbon sewn right in. Place your gift inside, tie a bow and it&#39;s ready to give – no tissue paper, tape or scissors.</p><ul><li><strong>Color:</strong> Black and white buffalo check with a gold satin ribbon</li><li><strong>Size:</strong> Medium – 11.5&quot; x 9&quot; x 7&quot;</li><li><strong>Fits gifts like:</strong> books, clothing and toys</li><li><strong>Ribbon sewn in:</strong> a beautiful bow every time, no tissue paper needed</li><li><strong>Stores flat:</strong> folds completely flat for easy, organized storage</li><li><strong>Make it yours:</strong> Add an EverBow and charm for extra flair (sold separately)</li></ul><p>Perfect for birthdays, Christmas, baby showers, weddings, Mother&#39;s Day and every celebration in between.</p>","Buffalo Check Reusable Gift Bag, Medium | EverWrap","Reusable medium gift bag in buffalo check with a gold satin bow closure. Wrap a gift in seconds, then use it again and again. Zero-waste gifting by EverWrap."
everbag-small-green-floral-print-with-ivory-satin-bow,"EverBag Reusable Gift Bag – Green Floral, Small","<p>The EverBag is a reusable gift bag in green floral with an ivory satin ribbon sewn right in. Place your gift inside, tie a bow and it&#39;s ready to give – no tissue paper, tape or scissors.</p><ul><li><strong>Color:</strong> Green floral with an ivory satin ribbon</li><li><strong>Size:</strong> Small – 8&quot; x 8&quot; x 4.5&quot;</li><li><strong>Fits gifts like:</strong> jewelry, candles and beauty treats</li><li><strong>Ribbon sewn in:</strong> a beautiful bow every time, no tissue paper needed</li><li><strong>Stores flat:</strong> folds completely flat for easy, organized storage</li><li><strong>Make it yours:</strong> Add an EverBow and charm for extra flair (sold separately)</li></ul><p>Perfect for birthdays, Christmas, baby showers, weddings, Mother&#39;s Day and every celebration in between.</p>","Green Floral Reusable Gift Bag, Small | EverWrap","Reusable small gift bag in green floral with a ivory satin bow closure. Wrap a gift in seconds, then use it again and again. Zero-waste gifting by EverWrap."
everbag-medium-green-buffalo-plaid-with-ivory-satin-bow-copy,"EverBag Reusable Gift Bag – Green Buffalo Plaid, Medium","<p>The EverBag is a reusable gift bag in green buffalo plaid with an ivory satin ribbon sewn right in. Place your gift inside, tie a bow and it&#39;s ready to give – no tissue paper, tape or scissors.</p><ul><li><strong>Color:</strong> Green buffalo plaid with an ivory satin ribbon</li><li><strong>Size:</strong> Medium – 11.5&quot; x 9&quot; x 7&quot;</li><li><strong>Fits gifts like:</strong> books, clothing and toys</li><li><strong>Ribbon sewn in:</strong> a beautiful bow every time, no tissue paper needed</li><li><strong>Stores flat:</strong> folds completely flat for easy, organized storage</li><li><strong>Make it yours:</strong> Add an EverBow and charm for extra flair (sold separately)</li></ul><p>Perfect for birthdays, Christmas, baby showers, weddings, Mother&#39;s Day and every celebration in between.</p>","Green Buffalo Plaid Reusable Gift Bag, Medium | EverWrap","Reusable medium gift bag in green buffalo plaid with a ivory satin bow closure. Wrap a gift in seconds, then use it again and again."
everbag-large-cotton-black-grid-tie-bag-with-satin-ribbon-closure,"EverTie Tie Gift Bag – Black Grid, Large","<p>Big or awkwardly shaped gift? The EverTie is a large, reusable cotton gift bag in black and white grid with a satin ribbon tie. Slip the gift inside, tie a bow and it&#39;s wrapped – no tissue, tape or hassle.</p><ul><li><strong>Color:</strong> Black and white grid</li><li><strong>Size:</strong> Large – 27&quot; x 19&quot;</li><li><strong>Fits gifts like:</strong> roller blades, cozy blankets and big toys such as basketball, baseball or soccer sets</li><li><strong>Satin ribbon tie:</strong> closes with a bow in seconds</li><li><strong>Cotton and reusable:</strong> wrap big gifts again and again instead of using paper</li></ul><p>Perfect for birthdays, Christmas, baby showers, weddings, Mother&#39;s Day and every celebration in between.</p>","Black Grid Reusable Tie Gift Bag, Large | EverWrap",Large reusable tie gift bag in black grid with a satin ribbon tie closure. Fits bigger gifts and reuses year after year. Zero-waste gifting by EverWrap.
everbag-large-cotton-blue-tie-bag-with-satin-ribbon-closure,"EverTie Tie Gift Bag – Blue, Large","<p>Big or awkwardly shaped gift? The EverTie is a large, reusable cotton gift bag in blue with a satin ribbon tie. Slip the gift inside, tie a bow and it&#39;s wrapped – no tissue, tape or hassle.</p><ul><li><strong>Color:</strong> Blue</li><li><strong>Size:</strong> Large – 27&quot; x 19&quot;</li><li><strong>Fits gifts like:</strong> roller blades, cozy blankets and big toys such as basketball, baseball or soccer sets</li><li><strong>Satin ribbon tie:</strong> closes with a bow in seconds</li><li><strong>Cotton and reusable:</strong> wrap big gifts again and again instead of using paper</li></ul><p>Perfect for birthdays, Christmas, baby showers, weddings, Mother&#39;s Day and every celebration in between.</p>","Blue Reusable Tie Gift Bag, Large | EverWrap",Large reusable tie gift bag in blue with a satin ribbon tie closure. Fits bigger gifts and reuses year after year. Zero-waste gifting by EverWrap.
everbow,EverBow Reusable Gift Bow – Black,"<p>Add the finishing touch in seconds. The EverBow is a reusable 5&quot; grosgrain gift bow in black that attaches to and detaches from EverBags and EverEnvelopes – no tape or tying needed.</p><ul><li><strong>Color:</strong> Black</li><li><strong>Size:</strong> 5&quot; bow</li><li><strong>Durable grosgrain:</strong> holds its shape gift after gift</li><li><strong>Easy on, easy off:</strong> attaches to EverBags and EverEnvelopes</li><li><strong>Swap the look:</strong> add, remove or change charms (sold separately)</li></ul><p>Style your gift beautifully – the EverWrap way.</p>",Black Reusable Gift Bow | EverWrap,"Reusable 5"" black grosgrain gift bow that attaches and detaches in seconds – no tape or tying. Pairs with EverBags and EverEnvelopes."
everbow-navy,EverBow Reusable Gift Bow – Navy,"<p>Add the finishing touch in seconds. The EverBow is a reusable 5&quot; grosgrain gift bow in navy that attaches to and detaches from EverBags and EverEnvelopes – no tape or tying needed.</p><ul><li><strong>Color:</strong> Navy</li><li><strong>Size:</strong> 5&quot; bow</li><li><strong>Durable grosgrain:</strong> holds its shape gift after gift</li><li><strong>Easy on, easy off:</strong> attaches to EverBags and EverEnvelopes</li><li><strong>Swap the look:</strong> add, remove or change charms (sold separately)</li></ul><p>Style your gift beautifully – the EverWrap way.</p>",Navy Reusable Gift Bow | EverWrap,"Reusable 5"" navy grosgrain gift bow that attaches and detaches in seconds – no tape or tying. Pairs with EverBags and EverEnvelopes."
everbow-pink,EverBow Reusable Gift Bow – Pink,"<p>Add the finishing touch in seconds. The EverBow is a reusable 5&quot; grosgrain gift bow in pink that attaches to and detaches from EverBags and EverEnvelopes – no tape or tying needed.</p><ul><li><strong>Color:</strong> Pink</li><li><strong>Size:</strong> 5&quot; bow</li><li><strong>Durable grosgrain:</strong> holds its shape gift after gift</li><li><strong>Easy on, easy off:</strong> attaches to EverBags and EverEnvelopes</li><li><strong>Swap the look:</strong> add, remove or change charms (sold separately)</li></ul><p>Style your gift beautifully – the EverWrap way.</p>",Pink Reusable Gift Bow | EverWrap,"Reusable 5"" pink grosgrain gift bow that attaches and detaches in seconds – no tape or tying. Pairs with EverBags and EverEnvelopes."
everbow-red,EverBow Reusable Gift Bow – Red,"<p>Add the finishing touch in seconds. The EverBow is a reusable 5&quot; grosgrain gift bow in red that attaches to and detaches from EverBags and EverEnvelopes – no tape or tying needed.</p><ul><li><strong>Color:</strong> Red</li><li><strong>Size:</strong> 5&quot; bow</li><li><strong>Durable grosgrain:</strong> holds its shape gift after gift</li><li><strong>Easy on, easy off:</strong> attaches to EverBags and EverEnvelopes</li><li><strong>Swap the look:</strong> add, remove or change charms (sold separately)</li></ul><p>Style your gift beautifully – the EverWrap way.</p>",Red Reusable Gift Bow | EverWrap,"Reusable 5"" red grosgrain gift bow that attaches and detaches in seconds – no tape or tying. Pairs with EverBags and EverEnvelopes."
gift-tags,Recycled Paper Gift Tags – 10 Pack,"<p>Finish your reusable gift wrap with EverWrap gift tags, printed on recycled paper. Each tag carries a gentle reminder: &ldquo;This gift wrap is meant to be reused. Re-gift or return to sender.&rdquo;</p><ul><li><strong>Color:</strong> Natural kraft</li><li><strong>Size:</strong> 3.5&quot; x 2&quot; tags</li><li><strong>In the pack:</strong> 10 gift tags and 10 self-fastening waxed cotton ropes</li><li><strong>Recycled paper:</strong> noted on the back of every tag</li></ul><p>Perfect for holidays, birthdays and everyday celebrations.</p>","Recycled Paper Gift Tags, 10 Pack | EverWrap","Pack of 10 gift tags printed on recycled paper with a reminder to reuse: ""Re-gift or return to sender."" The finishing touch for reusable gift wrap."
charms-wooden-tag-with-gold-heart,Wooden Gold Heart Gift Charm,"<p>A sweet finishing touch for any gift. This wooden tag charm with a painted gold heart attaches to any EverBow, so you can dress up a gift in seconds.</p><ul><li><strong>Color:</strong> Natural wood with a painted gold heart</li><li><strong>Size:</strong> about 2&quot; x 3.5&quot;</li><li><strong>Material:</strong> Wood</li><li><strong>Fits:</strong> any EverBow (sold separately)</li><li><strong>Perfect for:</strong> Valentine&#39;s Day, anniversaries and birthdays</li></ul><p>Reuse it on gift after gift.</p>",Wooden Gold Heart Gift Charm | EverWrap,"Wooden gift tag charm with a painted gold heart that attaches to any EverBow. A sweet, reusable touch for Valentine's Day and birthdays."
charm-wooden-tag-with-gold-heart-copy,Wooden Snowflake Gift Charm,"<p>A sweet finishing touch for any gift. This wooden snowflake charm attaches to any EverBow, so you can dress up a gift in seconds.</p><ul><li><strong>Color:</strong> Natural wood</li><li><strong>Size:</strong> about 3.75&quot; across</li><li><strong>Material:</strong> Natural wood</li><li><strong>Fits:</strong> any EverBow (sold separately)</li><li><strong>Perfect for:</strong> winter gifts and the holidays</li></ul><p>Reuse it on gift after gift.</p>",Wooden Snowflake Gift Charm | EverWrap,"Wooden snowflake charm that attaches to any EverBow. A reusable finishing touch for holiday gifts, winter birthdays and more."
charm-wooden-snowflake-copy,Alloy Star Gift Charm,"<p>A sweet finishing touch for any gift. This white alloy star charm has a gold crackle finish and attaches to any EverBow, so you can dress up a gift in seconds.</p><ul><li><strong>Color:</strong> White with a gold crackle finish</li><li><strong>Size:</strong> about 3&quot; across</li><li><strong>Material:</strong> White alloy with a gold crackle finish</li><li><strong>Fits:</strong> any EverBow (sold separately)</li><li><strong>Perfect for:</strong> holiday gifts and celebrations</li></ul><p>Reuse it on gift after gift.</p>",Alloy Star Gift Charm | EverWrap,"White alloy star charm with a gold crackle finish that attaches to any EverBow. A reusable finishing touch for birthdays, holidays and celebrations."
charm-tree,Alloy Tree Gift Charm,"<p>A sweet finishing touch for any gift. This white alloy tree charm has a gold crackle finish and attaches to any EverBow, so you can dress up a gift in seconds.</p><ul><li><strong>Color:</strong> White with a gold crackle finish</li><li><strong>Size:</strong> about 3&quot; x 2.5&quot;</li><li><strong>Material:</strong> White alloy with a gold crackle finish</li><li><strong>Fits:</strong> any EverBow (sold separately)</li><li><strong>Perfect for:</strong> Christmas and holiday gifts</li></ul><p>Reuse it on gift after gift.</p>",Alloy Tree Gift Charm | EverWrap,White alloy tree charm with a gold crackle finish that attaches to any EverBow. A reusable finishing touch for holiday gifts and more.
